Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	1.485984	1.264525	45.448000	55.110000	
0.100000	0.914948	1.142845	67.512000	63.340000	
0.100000	0.718953	0.823055	75.042000	71.970000	
0.100000	0.614446	0.653294	78.802000	77.410000	
0.100000	0.539542	0.644982	81.414000	77.400000	
0.100000	0.496086	0.577084	82.948000	80.530000	
0.100000	0.464251	0.540748	84.088000	81.900000	
0.100000	0.433295	0.544572	85.150000	82.380000	
0.100000	0.413819	0.470100	85.702000	84.010000	
0.100000	0.394837	0.464759	86.466000	84.900000	
0.100000	0.378605	0.478908	86.930000	83.700000	
0.100000	0.369381	0.440318	87.282000	86.160000	
0.100000	0.361497	0.482106	87.420000	84.220000	
0.100000	0.352726	0.431970	87.658000	85.440000	
0.100000	0.343556	0.504744	87.950000	83.920000	
0.100000	0.335903	0.437356	88.422000	85.340000	
0.100000	0.328893	0.572859	88.632000	81.490000	
0.100000	0.317713	0.464010	89.070000	84.350000	
0.100000	0.317198	0.378716	89.042000	87.200000	
0.100000	0.315459	0.451459	89.192000	85.310000	
0.100000	0.305140	0.396122	89.532000	87.140000	
0.100000	0.297400	0.426954	89.742000	85.420000	
0.100000	0.297798	0.459944	89.516000	85.260000	
0.100000	0.290778	0.447430	90.064000	85.380000	
0.100000	0.290907	0.544556	89.894000	84.350000	
0.100000	0.282473	0.539974	90.262000	83.460000	
0.100000	0.283328	0.469572	90.224000	84.620000	
0.100000	0.273809	0.506946	90.494000	84.570000	
0.100000	0.271209	0.397793	90.580000	86.740000	
0.100000	0.265727	0.403234	90.774000	86.900000	
0.100000	0.268849	0.460132	90.648000	84.710000	
0.100000	0.268483	0.346530	90.584000	88.500000	
0.100000	0.263628	0.370527	90.854000	88.070000	
0.100000	0.253704	0.366754	91.272000	87.780000	
0.100000	0.254463	0.340722	91.124000	89.070000	
0.100000	0.256308	0.390107	91.092000	87.190000	
0.100000	0.248683	0.448873	91.402000	85.380000	
0.100000	0.251682	0.345275	91.266000	88.380000	
0.100000	0.245630	0.397592	91.456000	87.430000	
0.100000	0.246806	0.397095	91.356000	87.830000	
0.100000	0.247958	0.374107	91.492000	87.920000	
0.100000	0.243649	0.430703	91.558000	86.880000	
0.100000	0.241590	0.385427	91.594000	88.170000	
0.100000	0.235132	0.379587	91.778000	88.030000	
0.100000	0.236996	0.435448	91.788000	86.700000	
0.100000	0.238188	0.300786	91.602000	90.050000	
0.100000	0.234147	0.382894	91.790000	87.770000	
0.100000	0.231495	0.397971	91.874000	87.090000	
0.100000	0.235380	0.366195	91.756000	88.500000	
0.100000	0.230192	0.358598	91.892000	88.210000	
0.100000	0.228010	0.313148	92.086000	89.460000	
0.100000	0.227235	0.572193	92.128000	83.430000	
0.100000	0.224633	0.318145	92.200000	89.850000	
0.100000	0.224449	0.463421	92.244000	85.590000	
0.100000	0.225248	0.332315	92.192000	89.330000	
0.100000	0.224042	0.353475	92.298000	88.760000	
0.100000	0.222832	0.361928	92.276000	88.650000	
0.100000	0.219689	0.304331	92.418000	89.870000	
0.100000	0.221712	0.411385	92.298000	87.430000	
0.100000	0.219727	0.347211	92.344000	89.130000	
0.100000	0.219423	0.373158	92.474000	88.280000	
0.100000	0.218413	0.327423	92.416000	89.210000	
0.100000	0.217699	0.385389	92.394000	87.930000	
0.100000	0.216540	0.350544	92.328000	89.390000	
0.100000	0.213955	0.342160	92.524000	89.560000	
0.100000	0.215942	0.328825	92.492000	89.490000	
0.100000	0.216397	0.313990	92.520000	90.120000	
0.100000	0.213092	0.339404	92.542000	89.190000	
0.100000	0.213204	0.341819	92.626000	89.590000	
0.100000	0.214128	0.314276	92.524000	89.760000	
0.100000	0.214121	0.311995	92.402000	89.440000	
0.100000	0.212664	0.410847	92.580000	87.300000	
0.100000	0.203337	0.368219	93.006000	88.590000	
0.100000	0.204765	0.374448	92.884000	88.350000	
0.100000	0.208117	0.505229	92.694000	84.630000	
0.100000	0.206618	0.318065	92.838000	89.960000	
