Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.625847	2.304061	9.860000	10.040000	
0.100000	2.304197	2.304258	10.184000	10.070000	
0.100000	2.304251	2.302211	10.066000	10.950000	
0.100000	2.295000	2.271925	10.980000	14.190000	
0.100000	2.126276	2.051438	17.466000	21.370000	
0.100000	1.887139	1.786003	26.540000	32.400000	
0.100000	1.730894	1.658356	34.372000	37.970000	
0.100000	1.544684	1.607065	42.840000	40.960000	
0.100000	1.392567	1.583590	49.318000	45.490000	
0.100000	1.242668	1.373812	55.186000	53.340000	
0.100000	1.123234	1.105204	60.112000	61.290000	
0.100000	1.013595	1.047510	64.216000	62.790000	
0.100000	0.921192	2.843136	67.666000	62.330000	
0.100000	0.849101	0.903291	70.314000	69.340000	
0.100000	0.778146	0.867248	72.916000	71.060000	
0.100000	0.714235	0.735515	75.174000	74.740000	
0.100000	0.665931	0.734835	76.968000	75.860000	
0.100000	0.624777	0.713164	78.462000	75.790000	
0.100000	0.595369	0.677209	79.384000	77.650000	
0.100000	0.566622	0.587079	80.392000	80.100000	
0.100000	0.539383	0.669973	81.234000	77.890000	
0.100000	0.514608	0.558659	82.186000	81.140000	
0.100000	0.495304	0.608824	83.038000	79.880000	
0.100000	0.475465	0.510905	83.560000	82.730000	
0.100000	0.459791	0.568523	84.106000	81.110000	
0.100000	0.447007	0.630669	84.410000	80.020000	
0.100000	0.436627	0.626076	84.884000	79.290000	
0.100000	0.423867	0.656165	85.222000	78.470000	
0.100000	0.412236	0.607967	85.700000	80.970000	
0.100000	0.401367	0.543922	85.992000	82.510000	
0.100000	0.390197	0.525945	86.554000	82.880000	
0.100000	0.379246	0.534171	86.816000	82.610000	
0.100000	0.370692	0.493261	87.100000	83.410000	
0.100000	0.362347	0.514128	87.504000	83.410000	
0.100000	0.351352	0.520950	87.788000	83.330000	
0.100000	0.347217	0.440589	87.952000	85.540000	
0.100000	0.336282	0.514148	88.336000	83.940000	
0.100000	0.331108	0.497506	88.328000	83.650000	
0.100000	0.321897	0.518843	88.808000	83.780000	
0.100000	0.322424	0.505594	88.782000	84.370000	
0.100000	0.319186	0.511930	88.862000	84.020000	
0.100000	0.304719	0.486538	89.372000	84.600000	
0.100000	0.299260	0.476653	89.610000	84.770000	
0.100000	0.296078	0.459584	89.646000	85.440000	
0.100000	0.295647	0.461940	89.634000	85.380000	
0.100000	0.288793	0.474643	89.808000	85.280000	
0.100000	0.281210	0.468220	90.150000	85.090000	
0.100000	0.278830	0.486173	90.286000	84.470000	
0.100000	0.270607	0.477231	90.610000	84.900000	
0.100000	0.267481	0.483734	90.674000	85.200000	
0.100000	0.267154	0.416401	90.676000	86.550000	
0.100000	0.263481	0.385938	90.830000	87.620000	
0.100000	0.260005	0.425702	90.840000	86.360000	
0.100000	0.258777	0.401331	90.866000	87.130000	
0.100000	0.252855	0.594934	91.166000	83.240000	
0.100000	0.250251	0.470243	91.232000	85.570000	
0.100000	0.246074	0.470077	91.414000	85.570000	
0.100000	0.241100	0.478061	91.646000	86.890000	
0.100000	0.239916	0.437866	91.506000	86.420000	
0.100000	0.237937	0.385615	91.672000	87.450000	
0.100000	0.236895	0.424297	91.742000	86.840000	
0.100000	0.233204	0.392165	91.806000	87.540000	
0.100000	0.227738	0.420959	91.988000	86.480000	
0.100000	0.223617	0.394873	92.186000	87.200000	
0.100000	0.227120	0.501736	92.098000	85.290000	
0.100000	0.219186	0.371448	92.282000	87.740000	
0.100000	0.216868	0.463699	92.402000	86.390000	
0.100000	0.217234	0.375832	92.282000	88.520000	
0.100000	0.216586	0.415040	92.402000	87.530000	
0.100000	0.214235	0.509335	92.394000	84.650000	
0.100000	0.206984	0.456385	92.746000	86.260000	
0.100000	0.214164	0.378698	92.480000	88.340000	
0.100000	0.207401	0.493890	92.852000	85.900000	
0.100000	0.207116	0.490691	92.696000	85.270000	
0.100000	0.208640	0.535652	92.654000	83.830000	
0.100000	0.206030	0.560178	92.686000	83.530000	
0.100000	0.200206	0.417968	92.972000	87.310000	
0.100000	0.201285	0.477743	92.984000	85.880000	
0.100000	0.194893	0.478239	93.108000	86.130000	
0.100000	0.198740	0.430532	93.038000	87.120000	
0.100000	0.192718	0.512655	93.318000	85.010000	
0.100000	0.195496	0.442656	93.228000	86.460000	
0.100000	0.194325	0.476185	93.234000	85.470000	
0.100000	0.190600	0.365520	93.476000	88.480000	
0.100000	0.189450	0.388165	93.404000	88.310000	
0.100000	0.185793	0.330531	93.452000	89.130000	
0.100000	0.191686	0.362717	93.320000	88.590000	
0.100000	0.180182	0.432708	93.670000	87.540000	
0.100000	0.186964	0.375809	93.432000	88.760000	
0.100000	0.187251	0.338164	93.466000	89.130000	
0.100000	0.188005	0.372628	93.356000	88.420000	
0.100000	0.173095	0.555853	93.890000	84.980000	
0.100000	0.177676	0.452231	93.654000	86.800000	
0.100000	0.180378	0.372254	93.596000	88.630000	
0.100000	0.174981	0.412422	93.896000	87.490000	
0.100000	0.177302	0.397098	93.706000	88.040000	
0.100000	0.173733	0.372334	93.906000	88.790000	
0.100000	0.175906	0.362430	93.880000	89.120000	
0.100000	0.173370	0.469616	93.884000	87.000000	
0.100000	0.172324	0.451195	93.946000	86.640000	
0.100000	0.170062	0.393583	94.104000	87.750000	
0.100000	0.170297	0.411359	94.088000	87.410000	
0.100000	0.166458	0.400138	94.174000	87.900000	
0.100000	0.170561	0.432125	93.996000	87.070000	
0.100000	0.166185	0.501065	94.260000	85.450000	
0.100000	0.172263	0.401421	93.978000	88.180000	
0.100000	0.164500	0.429302	94.210000	87.450000	
0.100000	0.168327	0.379827	94.086000	88.550000	
0.100000	0.162449	0.465814	94.282000	86.440000	
0.100000	0.169692	0.368830	94.000000	88.810000	
0.100000	0.163120	0.329763	94.322000	89.770000	
0.100000	0.160665	0.456645	94.400000	86.060000	
0.100000	0.160428	0.395374	94.332000	88.110000	
0.100000	0.154702	0.347055	94.602000	89.160000	
0.100000	0.163448	0.429722	94.204000	87.560000	
0.100000	0.153244	0.378369	94.742000	88.400000	
0.100000	0.170040	0.435778	94.118000	86.960000	
0.100000	0.157311	0.374540	94.488000	89.080000	
0.100000	0.161817	0.473542	94.242000	86.460000	
0.100000	0.158814	0.373065	94.586000	88.510000	
0.100000	0.154640	0.384706	94.718000	88.280000	
0.100000	0.152766	0.398446	94.680000	88.360000	
0.100000	0.157552	0.408583	94.492000	87.660000	
0.100000	0.160099	0.381314	94.392000	88.550000	
0.100000	0.152028	0.462969	94.672000	86.690000	
0.100000	0.152787	0.401928	94.648000	88.600000	
0.100000	0.152646	0.429594	94.550000	87.170000	
0.100000	0.153019	0.450643	94.702000	86.980000	
0.100000	0.147612	0.459339	94.826000	86.650000	
0.100000	0.149412	0.358395	94.812000	89.130000	
0.100000	0.146437	0.350666	94.886000	89.610000	
0.100000	0.147474	0.437322	94.824000	87.030000	
0.100000	0.153458	0.416128	94.674000	87.960000	
0.100000	0.149295	0.334331	94.868000	89.890000	
0.100000	0.145748	0.403200	94.946000	88.530000	
0.100000	0.151973	0.409095	94.674000	88.230000	
0.100000	0.148495	0.387056	94.720000	88.980000	
0.100000	0.149991	0.438286	94.730000	87.540000	
0.100000	0.154429	0.419819	94.708000	88.170000	
0.100000	0.150183	0.403612	94.712000	88.210000	
0.100000	0.146206	0.583584	94.812000	84.900000	
0.100000	0.144016	0.381226	94.868000	89.330000	
0.100000	0.144006	0.389658	94.988000	88.930000	
0.100000	0.143654	0.388101	94.964000	88.740000	
0.100000	0.145046	0.415111	94.960000	88.260000	
0.100000	0.140490	0.480559	95.040000	86.810000	
0.100000	0.143128	0.375293	95.022000	88.370000	
0.100000	0.140878	0.417569	95.074000	87.850000	
0.100000	0.138142	0.317402	95.218000	90.210000	
0.100000	0.139958	0.424529	95.098000	87.720000	
0.010000	0.064809	0.223348	97.850000	93.090000	
0.010000	0.039177	0.215055	98.782000	93.440000	
0.010000	0.030920	0.217936	99.070000	93.680000	
0.010000	0.025618	0.223068	99.268000	93.890000	
0.010000	0.021994	0.223075	99.368000	93.930000	
0.010000	0.018717	0.227869	99.502000	94.000000	
0.010000	0.017475	0.229508	99.510000	94.030000	
0.010000	0.015026	0.239149	99.608000	93.910000	
0.010000	0.013416	0.241558	99.668000	93.850000	
0.010000	0.013160	0.234912	99.638000	94.020000	
0.010000	0.011551	0.237582	99.682000	94.140000	
0.010000	0.010777	0.239447	99.700000	94.130000	
0.010000	0.010549	0.240875	99.734000	94.130000	
0.010000	0.009782	0.241159	99.754000	94.090000	
0.010000	0.008920	0.248394	99.784000	94.150000	
0.010000	0.008519	0.247111	99.786000	94.120000	
0.010000	0.008215	0.253031	99.804000	94.180000	
