Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.540230	4.227696	2.008000	3.810000	
0.100000	4.089060	3.940016	5.122000	6.840000	
0.100000	3.874060	3.850468	8.030000	8.040000	
0.100000	3.716342	3.620711	10.242000	11.380000	
0.100000	3.518090	3.858318	13.198000	11.280000	
0.100000	3.270342	3.338662	17.492000	17.040000	
0.100000	3.026580	3.038800	21.704000	21.580000	
0.100000	2.856893	3.018762	25.136000	23.940000	
0.100000	2.724415	2.808906	27.892000	26.270000	
0.100000	2.607657	3.327983	30.096000	22.640000	
0.100000	2.491726	2.744207	32.944000	28.240000	
0.100000	2.401008	2.620842	34.670000	31.680000	
0.100000	2.331118	2.687760	36.910000	31.480000	
0.100000	2.263256	2.650720	38.456000	31.890000	
0.100000	2.188023	2.689614	40.308000	32.180000	
0.100000	2.141464	2.781244	41.644000	32.400000	
0.100000	2.092991	2.510359	42.990000	36.090000	
0.100000	2.045890	2.244456	44.216000	40.700000	
0.100000	2.019893	2.869717	44.960000	32.560000	
0.100000	1.969785	2.448957	46.440000	38.000000	
0.100000	1.965947	2.205098	46.464000	41.400000	
0.100000	1.935825	2.280600	47.178000	39.590000	
0.100000	1.921793	2.302973	47.726000	40.770000	
0.100000	1.894025	2.351532	48.480000	40.670000	
0.100000	1.878265	2.241515	48.966000	41.270000	
0.100000	1.870661	2.911435	49.144000	33.160000	
0.100000	1.853807	2.906545	49.610000	34.320000	
0.100000	1.831899	2.870456	50.440000	34.690000	
0.100000	1.822196	2.875826	50.480000	36.740000	
0.100000	1.806875	2.651464	51.086000	37.630000	
0.100000	1.802965	2.081791	51.002000	46.050000	
0.100000	1.786233	2.339763	51.218000	40.810000	
0.100000	1.770602	2.356441	51.988000	42.290000	
0.100000	1.763720	2.157615	52.002000	44.100000	
0.100000	1.757105	2.268354	52.318000	42.930000	
0.100000	1.747236	2.209226	52.780000	43.660000	
0.100000	1.733684	2.182437	53.034000	44.590000	
0.100000	1.716419	2.193515	53.454000	44.310000	
0.100000	1.714579	2.145285	53.688000	45.890000	
0.100000	1.712630	2.333252	53.642000	42.820000	
